image_id,image_path,split,ma_mask,he_mask,ex_mask,se_mask
IDRiD_35,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_35.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_35_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_35_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_35_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_35_SE.tif
IDRiD_21,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_21.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_21_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_21_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_21_EX.tif,
IDRiD_09,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_09.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_09_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_09_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_09_EX.tif,
IDRiD_08,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_08.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_08_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_08_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_08_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_08_SE.tif
IDRiD_20,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_20.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_20_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_20_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_20_EX.tif,
IDRiD_34,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_34.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_34_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_34_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_34_EX.tif,
IDRiD_22,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_22.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_22_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_22_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_22_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_22_SE.tif
IDRiD_36,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_36.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_36_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_36_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_36_EX.tif,
IDRiD_37,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_37.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_37_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_37_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_37_EX.tif,
IDRiD_23,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_23.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_23_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_23_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_23_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_23_SE.tif
IDRiD_44,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_44.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_44_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_44_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_44_EX.tif,
IDRiD_50,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_50.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_50_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_50_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_50_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_50_SE.tif
IDRiD_51,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_51.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_51_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_51_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_51_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_51_SE.tif
IDRiD_45,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_45.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_45_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_45_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_45_EX.tif,
IDRiD_53,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_53.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_53_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_53_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_53_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_53_SE.tif
IDRiD_47,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_47.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_47_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_47_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_47_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_47_SE.tif
IDRiD_46,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_46.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_46_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_46_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_46_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_46_SE.tif
IDRiD_52,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_52.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_52_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_52_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_52_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_52_SE.tif
IDRiD_42,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_42.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_42_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_42_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_42_EX.tif,
IDRiD_43,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_43.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_43_MA.tif,,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_43_EX.tif,
IDRiD_41,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_41.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_41_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_41_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_41_EX.tif,
IDRiD_54,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_54.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_54_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_54_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_54_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_54_SE.tif
IDRiD_40,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_40.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_40_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_40_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_40_EX.tif,
IDRiD_48,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_48.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_48_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_48_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_48_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_48_SE.tif
IDRiD_49,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_49.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_49_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_49_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_49_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_49_SE.tif
IDRiD_06,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_06.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_06_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_06_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_06_EX.tif,
IDRiD_12,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_12.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_12_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_12_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_12_EX.tif,
IDRiD_13,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_13.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_13_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_13_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_13_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_13_SE.tif
IDRiD_07,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_07.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_07_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_07_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_07_EX.tif,
IDRiD_39,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_39.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_39_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_39_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_39_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_39_SE.tif
IDRiD_11,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_11.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_11_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_11_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_11_EX.tif,
IDRiD_05,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_05.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_05_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_05_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_05_EX.tif,
IDRiD_04,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_04.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_04_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_04_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_04_EX.tif,
IDRiD_10,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_10.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_10_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_10_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_10_EX.tif,
IDRiD_38,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_38.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_38_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_38_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_38_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_38_SE.tif
IDRiD_14,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_14.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_14_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_14_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_14_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_14_SE.tif
IDRiD_28,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_28.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_28_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_28_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_28_EX.tif,
IDRiD_29,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_29.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_29_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_29_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_29_EX.tif,
IDRiD_01,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_01.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_01_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_01_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_01_EX.tif,
IDRiD_15,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_15.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_15_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_15_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_15_EX.tif,
IDRiD_03,data/raw/idrid/A. Segmentation/1. Original Images/a. Training Set/IDRiD_03.jpg,train,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/1. Microaneurysms/IDRiD_03_MA.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/2. Haemorrhages/IDRiD_03_HE.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/3. Hard Exudates/IDRiD_03_EX.tif,data/raw/idrid/A. Segmentation/2. All Segmentation Groundtruths/a. Training Set/4. Soft Exudates/IDRiD_03_SE.tif
